country,latitude,longitude,networkDomain,date,users,newUsers,sessions,bounceRate,sessionDuration,YearMonth
(not set),0.0000,0.0000,Other,2015-03-17,11,11,11,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-18,1,1,1,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-20,3,3,3,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-24,6,6,6,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-25,9,9,9,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-26,6,6,6,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-27,7,7,7,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-30,3,3,3,100,0,201503
(not set),0.0000,0.0000,Other,2015-04-01,3,3,3,100,0,201504
(not set),0.0000,0.0000,Other,2015-04-02,6,6,6,100,0,201504
(not set),0.0000,0.0000,Other,2015-04-03,2,2,2,100,0,201504
(not set),0.0000,0.0000,Other,2015-04-21,1,1,1,0,62,201504
(not set),0.0000,0.0000,Other,2015-04-28,7,7,7,42.857142857142854,370,201504
(not set),0.0000,0.0000,Other,2015-05-28,3,3,3,66.66666666666666,600,201505
(not set),0.0000,0.0000,Other,2015-05-30,7,7,7,71.42857142857143,1e3,201505
(not set),0.0000,0.0000,Other,2015-06-02,3,3,3,66.66666666666666,300,201506
(not set),0.0000,0.0000,Other,2015-06-03,9,9,9,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-04,5,5,5,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-06,3,3,3,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-07,4,4,4,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-08,6,6,6,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-09,3,3,3,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-10,4,4,4,100,0,201506
(not set),0.0000,0.0000,Other,2014-01-23,1,1,1,100,0,201401
(not set),0.0000,0.0000,Other,2015-05-30,1,1,1,0,2,201505
(not set),0.0000,0.0000,Other,2015-06-04,1,1,1,100,0,201506
(not set),0.0000,0.0000,Other,2013-08-27,1,1,1,100,0,201308
(not set),0.0000,0.0000,Other,2013-08-28,1,1,1,100,0,201308
(not set),0.0000,0.0000,Other,2014-12-11,1,1,1,100,0,201412
(not set),0.0000,0.0000,Other,2013-10-31,1,1,1,0,118,201310
(not set),0.0000,0.0000,Other,2014-01-13,1,1,1,100,0,201401
(not set),0.0000,0.0000,Other,2015-03-30,1,1,1,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-25,1,1,1,100,0,201503
(not set),0.0000,0.0000,Other,2015-02-10,1,1,1,0,0,201502
(not set),0.0000,0.0000,Other,2014-09-08,1,1,1,100,0,201409
(not set),0.0000,0.0000,Other,2013-11-18,1,1,1,100,0,201311
(not set),0.0000,0.0000,Other,2013-12-24,1,1,1,100,0,201312
(not set),0.0000,0.0000,Other,2015-03-24,1,1,1,100,0,201503
(not set),0.0000,0.0000,Other,2013-12-01,1,0,1,0,31,201312
(not set),0.0000,0.0000,Other,2013-12-02,1,1,1,100,0,201312
